sample genotype nitrogen daytime
GSM801254 Line1 N02 D1_10am
GSM801255 Line1 N02 D1_10am
GSM801256 Line1 N02 D1_10am
GSM801257 Line1 N02 D1_11pm
GSM801258 Line1 N02 D1_11pm
GSM801259 Line1 N02 D1_11pm
GSM801260 Line1 N02T20 D1_10am
GSM801261 Line1 N02T20 D1_10am
GSM801262 Line1 N02T20 D1_10am
GSM801263 Line1 N02T20 D1_11pm
GSM801264 Line1 N02T20 D1_11pm
GSM801265 Line1 N02T20 D1_11pm
GSM801266 Line1 N02T20 D2_10am
GSM801267 Line1 N02T20 D2_10am
GSM801268 Line1 N02T20 D2_10am
GSM801269 Line1 N20 D1_10am
GSM801270 Line1 N20 D1_10am
GSM801271 Line1 N20 D1_10am
GSM801272 Line1 N20 D1_11pm
GSM801273 Line1 N20 D1_11pm
GSM801274 Line1 N20 D1_11pm
GSM801275 Line2 N02 D1_10am
GSM801276 Line2 N02 D1_10am
GSM801277 Line2 N02 D1_10am
GSM801278 Line2 N02 D1_11pm
GSM801279 Line2 N02 D1_11pm
GSM801280 Line2 N02 D1_11pm
GSM801281 Line2 N02T20 D1_10am
GSM801282 Line2 N02T20 D1_10am
GSM801283 Line2 N02T20 D1_10am
GSM801284 Line2 N02T20 D1_11pm
GSM801285 Line2 N02T20 D1_11pm
GSM801286 Line2 N02T20 D1_11pm
GSM801287 Line2 N02T20 D2_10am
GSM801288 Line2 N02T20 D2_10am
GSM801289 Line2 N02T20 D2_10am
GSM801290 Line2 N20 D1_10am
GSM801291 Line2 N20 D1_10am
GSM801292 Line2 N20 D1_10am
GSM801293 Line2 N20 D1_11pm
GSM801294 Line2 N20 D1_11pm
GSM801295 Line2 N20 D1_11pm
GSM801296 Line3 N02 D1_10am
GSM801297 Line3 N02 D1_10am
GSM801298 Line3 N02 D1_10am
GSM801299 Line3 N02 D1_11pm
GSM801300 Line3 N02 D1_11pm
GSM801301 Line3 N02 D1_11pm
GSM801302 Line3 N02T20 D1_10am
GSM801303 Line3 N02T20 D1_10am
GSM801304 Line3 N02T20 D1_10am
GSM801305 Line3 N02T20 D1_11pm
GSM801306 Line3 N02T20 D1_11pm
GSM801307 Line3 N02T20 D1_11pm
GSM801308 Line3 N02T20 D2_10am
GSM801309 Line3 N02T20 D2_10am
GSM801310 Line3 N02T20 D2_10am
GSM801311 Line3 N20 D1_10am
GSM801312 Line3 N20 D1_10am
GSM801313 Line3 N20 D1_10am
GSM801314 Line3 N20 D1_11pm
GSM801315 Line3 N20 D1_11pm
GSM801316 Line3 N20 D1_11pm
GSM801317 Line4 N02 D1_10am
GSM801318 Line4 N02 D1_10am
GSM801319 Line4 N02 D1_10am
GSM801320 Line4 N02 D1_11pm
GSM801321 Line4 N02 D1_11pm
GSM801322 Line4 N02 D1_11pm
GSM801323 Line4 N02 D2_10am
GSM801324 Line4 N02 D2_10am
GSM801325 Line4 N02 D2_10am
GSM801326 Line4 N02T20 D1_10am
GSM801327 Line4 N02T20 D1_10am
GSM801328 Line4 N02T20 D1_10am
GSM801329 Line4 N02T20 D1_11pm
GSM801330 Line4 N02T20 D1_11pm
GSM801331 Line4 N02T20 D1_11pm
GSM801332 Line4 N02T20 D2_10am
GSM801333 Line4 N02T20 D2_10am
GSM801334 Line4 N02T20 D2_10am
GSM801335 Line4 N20 D1_10am
GSM801336 Line4 N20 D1_10am
GSM801337 Line4 N20 D1_10am
GSM801338 Line4 N20 D1_11pm
GSM801339 Line4 N20 D1_11pm
GSM801340 Line4 N20 D1_11pm
GSM801341 Line4 N20 D2_10am
GSM801342 Line4 N20 D2_10am
GSM801343 Line4 N20 D2_10am
